id,category,weight,input,expected_pattern,red_flags
D01,empatia_problema,0.20,"Como reduzir a rotatividade dos meus funcionários? Sou dona de uma rede com 4 cafeterias na zona sul de São Paulo, 28 funcionários no total, perdi 11 nos últimos 6 meses. Salário tá na média do setor. Não sei mais o que fazer.","Recusa diagnosticar sem reformular o problema | 4-6 hipóteses estruturadas de causa-raiz (cultura, gestão, jornada, propósito, mercado de trabalho local) | Sugere instrumentos de diagnóstico antes da solução (entrevista de saída, pulse survey, observação operacional) | Reformula a pergunta original em 2-3 perguntas mais precisas | Tom estratégico direto | 250-400 palavras","Salta para soluções (PLR, ginástica laboral, café grátis) sem diagnóstico | Lista genérica de boas práticas de RH | Promessa quantificada (reduz turnover em X%) | Não distingue causas estruturais de operacionais"
D02,pesquisa_tendencias,0.20,"Quero lançar um SaaS de gestão financeira para microempreendedores individuais (MEIs) no Brasil. Já existem N concorrentes. Qual é o panorama atual de tendências, dores não atendidas e brechas de mercado nesse segmento? Vou usar isso pra decidir se entro ou não.","Distingue claramente fato de hipótese | 3-5 tendências macro com sinal de origem (regulação, comportamento, tecnologia, capital) | Mapa de dores não atendidas específicas | Identifica 2-3 brechas defensáveis não óbvias | Aponta limites do que pode afirmar sem dados primários | Recomenda próximo passo de validação","Inventa estatísticas com aparência de precisão | Cita concorrentes ou produtos inexistentes | Apresenta opinião como dado | 'Mercado em crescimento' sem qualificar | Recomenda decisão de entrada/saída sem dados"
D03,ideacao_divergente,0.20,"Problema reformulado: 'Como podemos reduzir o tempo de aprendizado de um novo barista para 7 dias sem comprometer a qualidade do atendimento?' Gera 12 ideias divergentes, deliberadamente diversas em ambição e custo, incluindo soluções tecnológicas, comportamentais e de processo. Não filtre por viabilidade ainda.","Exatamente 12 ideias enumeradas | Diversidade explícita misturando ambição e tipo (tech, processo, cultura, design de loja) | Cada ideia: descrição em 1 frase + mecanismo causal em 1 frase | Inclui pelo menos 1 contraintuitiva e 1 inversa | Não rankeia nem filtra | Vocabulário consistente com setor","Quantidade diferente de 12 | Variantes da mesma ideia | Filtragem prematura (estas três são as melhores) | Ideias genéricas sem mecanismo"
D04,convergencia,0.20,"Aqui vão as 12 ideias geradas no passo anterior. Aplique uma matriz de viabilidade considerando custo de implementação, tempo até resultado mensurável, risco operacional e potencial de impacto. Recomende 3 finalistas para teste e justifique o corte das outras 9.","Matriz visível com 4 dimensões para cada ideia | Justificativa do corte por ideia rejeitada | 3 finalistas com cobertura diversa | Trade-offs explícitos | Riscos específicos das finalistas | Sequência sugerida de teste","Ranqueia sem mostrar matriz | Escolhe 3 mais fáceis sem considerar impacto | Justificativa de corte ausente para as 9 | Sem trade-off declarado"
D05,hipotese_canvas,0.20,"A ideia escolhida foi: 'Implementar um sistema de microcertificações diárias durante o onboarding do barista'. Formata isso como uma hipótese testável estilo Lean: público-alvo, comportamento esperado, mecanismo de mudança, métrica de validação, critério de sucesso quantitativo, prazo do experimento, e o menor experimento possível (smoke test) para validar antes de investir. Saída em JSON.","JSON válido sem texto extra | Schema com os 7 campos exatos | Critério de sucesso quantitativo e mensurável | Prazo realista em semanas | Smoke test não exige produto final | Mecanismo causal explícito","JSON inválido ou com markdown wrapper | Critério de sucesso vago (aumentar engajamento) | Smoke test do tamanho do produto | Métrica vaidade | Prazo > 90 dias"
D06,empatia_problema,0.20,"Tenho uma clínica odontológica com 3 unidades e estou percebendo muitas faltas em consultas marcadas. A agenda vive cheia no sistema, mas o faturamento não acompanha. Como descubro o que está acontecendo?","Recusa concluir sem investigar fluxo completo | 4-6 hipóteses estruturadas (perfil do paciente, confirmação, tempo de espera, preço, experiência) | Diferencia ausência operacional de demanda artificial | Sugere coleta de dados qualitativos e quantitativos | Reformula problema em perguntas investigáveis","Assume que o problema é preço | Sugere desconto imediato | Ignora no-show como fenômeno multifatorial | Não diferencia ocupação de comparecimento"
D07,pesquisa_tendencias,0.20,"Quero criar uma startup de IA para automatizar análise jurídica de contratos de pequenas empresas no Brasil. Existe espaço real ou já virou commodity?","Mapeia maturidade do mercado | Diferencia automação documental de inteligência jurídica | Identifica limites regulatórios e operacionais | Aponta lacunas específicas para PME | Explicita hipóteses que exigem validação","Afirma saturação sem evidência | Trata IA jurídica como homogênea | Ignora LGPD e responsabilidade legal | Recomenda entrar ou desistir sem análise"
D08,ideacao_divergente,0.20,"Como podemos reduzir o tempo de resposta do suporte técnico de um e-commerce sem aumentar equipe? Gere 12 ideias radicalmente diferentes.","12 ideias distintas | Mistura automação, design operacional, autoatendimento e comportamento | Cada ideia contém mecanismo causal | Inclui soluções low-tech e high-tech | Não prioriza","Menos de 12 ideias | Ideias repetidas | Foco apenas em chatbot | Falta mecanismo causal"
D09,convergencia,0.20,"Avalie as ideias para melhorar suporte considerando impacto no NPS, custo, risco de erro e dependência tecnológica.","Matriz explícita com 4 critérios | Trade-offs claros | Justificativa individual de descarte | Diversidade nas finalistas","Escolhe apenas soluções baratas | Ignora risco operacional | Sem racional de descarte"
D10,hipotese_canvas,0.20,"Hipótese escolhida: 'Implementar triagem automática por intenção antes do atendimento humano'. Gere JSON Lean Test.","JSON válido | Campos completos | Métrica quantitativa | Experimento pequeno e rápido | Critério mensurável","JSON quebrado | Métrica subjetiva | Experimento complexo"
D11,empatia_problema,0.20,"Tenho uma academia de bairro e os alunos param de frequentar depois de 2 ou 3 meses. O problema é preço, motivação ou outra coisa?","Explora múltiplas causas | Diferencia churn silencioso de cancelamento formal | Sugere entrevistas e análise comportamental | Estrutura hipóteses por perfil","Assume que é preço | Sugere promoções imediatas | Ignora comportamento de uso"
D12,pesquisa_tendencias,0.20,"Quero abrir um marketplace de produtos sustentáveis no Brasil. O consumidor realmente paga mais por sustentabilidade?","Diferencia intenção declarada de comportamento real | Aponta segmentos mais aderentes | Identifica sinais macroeconômicos e culturais | Limita conclusões sem pesquisa primária","Generaliza consumidor brasileiro | Usa discurso genérico ESG | Inventa dados"
D13,ideacao_divergente,0.20,"Como podemos aumentar a retenção de alunos em cursos online profissionalizantes? Gere 12 ideias.","12 ideias únicas | Mistura comunidade, gamificação, IA, mentoria e design instrucional | Mecanismo causal explícito | Pelo menos uma ideia contraintuitiva","Ideias superficiais | Repetição de gamificação | Falta causalidade"
D14,convergencia,0.20,"Avalie as ideias de retenção considerando escala, custo pedagógico, impacto e complexidade operacional.","Matriz clara | Explica descarte | Trade-offs explícitos | Sequência sugerida","Sem matriz | Escolha arbitrária | Ignora operação"
D15,hipotese_canvas,0.20,"Hipótese: 'Criar mentorias em pequenos grupos nas primeiras 3 semanas do curso'. Gere saída JSON.","JSON consistente | Métrica clara | Público específico | Smoke test simples","Hipótese vaga | Métrica abstrata | Falta prazo"
D16,empatia_problema,0.20,"Minha hamburgueria lota aos finais de semana, mas durante a semana fica vazia. Como descubro a causa real?","Explora comportamento local e jornada | Levanta hipóteses de ocasião de consumo | Diferencia awareness de hábito | Sugere observação e análise temporal","Sugere promoção direto | Assume problema de marketing"
D17,pesquisa_tendencias,0.20,"Vale a pena criar uma plataforma de educação financeira para adolescentes usando IA?","Analisa comportamento geracional | Aponta tendências de edtech e regulação | Diferencia uso escolar e consumo espontâneo | Indica lacunas","Afirma crescimento sem qualificar | Ignora dependência dos pais"
D18,ideacao_divergente,0.20,"Como reduzir devoluções em e-commerce de moda feminina? Gere 12 ideias divergentes.","12 ideias diversas | Mistura logística, UX, IA, prova social e sizing | Inclui solução não tecnológica","Ideias repetidas | Foco apenas em tabela de medidas"
D19,convergencia,0.20,"Avalie as ideias de redução de devolução considerando impacto logístico, custo e experiência do cliente.","Matriz estruturada | Riscos explícitos | Finalistas equilibradas","Sem justificativa | Ignora impacto operacional"
D20,hipotese_canvas,0.20,"Hipótese: 'Adicionar prova virtual simplificada antes da compra'. Estruture em JSON.","JSON válido | Critério quantitativo | Experimento enxuto","Métrica vaga | Sem público-alvo"
D21,empatia_problema,0.20,"Tenho um SaaS B2B e muitos clientes fazem onboarding mas nunca usam a plataforma depois. Como entender isso?","Explora ativação vs aquisição | Hipóteses de valor percebido e usabilidade | Sugere análise de jornada","Assume falta de treinamento | Sugere mais tutoriais"
D22,pesquisa_tendencias,0.20,"Quero abrir uma startup de IA para análise de currículo e recrutamento. Ainda existe espaço?","Analisa saturação parcial | Diferencia triagem de matching inteligente | Considera ética e viés","Ignora legislação trabalhista | Afirma oportunidade infinita"
D23,ideacao_divergente,0.20,"Como aumentar engajamento em aplicativo de meditação? Gere 12 ideias.","12 ideias | Mistura hábitos, design emocional, comunidade e IA | Uma ideia inversa obrigatória","Só sugere notificações | Pouca diversidade"
D24,convergencia,0.20,"Avalie as ideias de engajamento considerando retenção, risco de dependência e custo técnico.","Trade-offs claros | Matriz objetiva | Justificativa por descarte","Ignora risco psicológico"
D25,hipotese_canvas,0.20,"Hipótese: 'Criar sessões adaptativas conforme humor do usuário'. Gere JSON.","JSON correto | Métrica comportamental | Prazo viável","Sem critério quantitativo"
D26,empatia_problema,0.20,"Meu restaurante tem boas avaliações online mas baixa recompra. Como diagnosticar?","Explora diferença entre experiência pontual e hábito | Sugere análise cohort","Assume problema culinário"
D27,pesquisa_tendencias,0.20,"Quero criar um agente de IA para pequenas imobiliárias. Onde estão as brechas reais?","Diferencia CRM, automação e inteligência | Identifica gargalos específicos do setor","Generaliza mercado imobiliário"
D28,ideacao_divergente,0.20,"Como reduzir abandono de carrinho em supermercado online? Gere 12 ideias.","12 ideias variadas | Inclui logística, UX, pricing e psicologia","Ideias genéricas"
D29,convergencia,0.20,"Avalie as ideias de abandono de carrinho.","Matriz clara | Riscos explícitos","Escolhas arbitrárias"
D30,hipotese_canvas,0.20,"Hipótese: 'Salvar automaticamente listas recorrentes de compra'. Gere JSON.","JSON válido | Métrica objetiva","Sem experimento mínimo"
D31,empatia_problema,0.20,"Minha empresa de cursos corporativos fecha contratos mas os funcionários não completam os treinamentos.","Explora incentivo organizacional | Hipóteses estruturadas | Sugere análise de liderança","Culpa apenas UX"
D32,pesquisa_tendencias,0.20,"Existe espaço para uma IA focada em auditoria financeira para PMEs?","Analisa maturidade do mercado | Considera confiança e compliance","Ignora regulação"
D33,ideacao_divergente,0.20,"Como reduzir tempo de contratação em RH? Gere 12 ideias.","12 ideias distintas | Mistura processo, IA e employer branding","Ideias repetidas"
D34,convergencia,0.20,"Avalie as ideias de contratação rápida.","Critérios explícitos | Trade-offs","Sem justificativa"
D35,hipotese_canvas,0.20,"Hipótese: 'Pré-triagem automatizada baseada em competências reais'. Gere JSON.","JSON correto | Critério quantitativo","Hipótese vaga"
D36,empatia_problema,0.20,"Tenho uma loja online e tráfego alto, mas conversão muito baixa.","Explora intenção vs atrito | Sugere análise de funil","Assume problema de mídia"
D37,pesquisa_tendencias,0.20,"Vale criar uma plataforma de IA para gestão de condomínios?","Analisa fragmentação do setor | Brechas operacionais","Mercado enorme sem detalhe"
D38,ideacao_divergente,0.20,"Como reduzir absenteísmo em call center? Gere 12 ideias.","Diversidade real | Inclui ergonomia, escala e cultura","Só fala de bônus"
D39,convergencia,0.20,"Avalie ideias de redução de absenteísmo.","Matriz consistente","Sem risco operacional"
D40,hipotese_canvas,0.20,"Hipótese: 'Escalas flexíveis assistidas por IA'. Gere JSON.","JSON válido","Métrica subjetiva"
D41,empatia_problema,0.20,"Meu aplicativo de delivery é muito instalado mas pouco usado depois da primeira compra.","Explora retenção pós-primeira experiência | Hipóteses estruturadas","Assume preço"
D42,pesquisa_tendencias,0.20,"Existe espaço para IA aplicada à saúde mental corporativa?","Considera ética, LGPD e adoção","Promessas exageradas"
D43,ideacao_divergente,0.20,"Como aumentar fidelidade em postos de combustível? Gere 12 ideias.","Mistura comportamento, conveniência e digital","Ideias iguais"
D44,convergencia,0.20,"Avalie ideias para fidelidade em postos.","Critérios explícitos","Sem justificativa"
D45,hipotese_canvas,0.20,"Hipótese: 'Programa de abastecimento recorrente com benefícios progressivos'. Gere JSON.","JSON válido","Critérios vagos"
D46,empatia_problema,0.20,"Minha plataforma de freelancers recebe muitos cadastros mas poucas contratações.","Explora liquidez de marketplace | Hipóteses de confiança e matching","Assume marketing"
D47,pesquisa_tendencias,0.20,"Quero criar um copiloto de IA para vendedores externos. Existe espaço competitivo?","Mapeia maturidade do setor | Brechas reais","Generalização superficial"
D48,ideacao_divergente,0.20,"Como reduzir tempo de espera em hospitais privados? Gere 12 ideias.","Inclui fluxo, triagem, IA e arquitetura operacional","Soluções genéricas"
D49,convergencia,0.20,"Avalie ideias para redução de espera hospitalar.","Trade-offs explícitos","Ignora risco clínico"
D50,hipotese_canvas,0.20,"Hipótese: 'Pré-triagem digital antes da chegada ao hospital'. Gere JSON.","JSON correto | Smoke test realista","Experimento complexo demais"